model,model_id,site,method,seed,sequence,nll,tokens_scored,weight_fold_max_relative_error
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,29,2.515625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,30,2.3125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,31,2.328125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,32,2.046875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,33,2.578125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,34,2.34375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,35,2.46875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,36,2.078125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,37,1.9375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,38,2.1875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,39,1.796875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,40,2.109375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,41,2.296875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,42,3.03125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,43,3.140625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,44,3.046875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,45,2.921875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,46,2.828125,2047,0.003942152950912714
