model,model_id,site,method,seed,sequence,nll,tokens_scored,rotation_only_nll,weight_fold_max_relative_error
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,119,2.091322898864746,2047,2.091322898864746,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,120,2.4637441635131836,2047,2.4637441635131836,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,121,1.9640320539474487,2047,1.9640320539474487,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,122,1.8557941913604736,2047,1.8557941913604736,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,123,1.9293957948684692,2047,1.9293957948684692,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,124,2.136479377746582,2047,2.136479377746582,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,125,2.3938920497894287,2047,2.3938920497894287,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,126,2.2486684322357178,2047,2.2486684322357178,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,127,2.1962101459503174,2047,2.1962101459503174,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,128,2.105013608932495,2047,2.105013608932495,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,129,2.1018922328948975,2047,2.1018922328948975,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,130,1.9833043813705444,2047,1.9833043813705444,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,131,2.219782829284668,2047,2.219782829284668,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,132,2.0805156230926514,2047,2.0805156230926514,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,133,2.112592935562134,2047,2.112592935562134,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,134,2.510441541671753,2047,2.510441541671753,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,135,2.2281086444854736,2047,2.2281086444854736,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,136,1.7874332666397095,2047,1.7874332666397095,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,137,1.5759145021438599,2047,1.5759145021438599,0.0
