model,seed,site,layer,k,f_wt2,f_c4,f_delta,all_jaccard,all_changed_fraction,all_slots,anchor_jaccard,anchor_changed_fraction,anchor_slots,filler_jaccard,filler_changed_fraction,filler_slots,residual_jaccard,residual_changed_fraction,residual_slots
qwen3_4b_base,0,down,9,76,0.21806841191181214,0.11016089624645117,-0.10790751566536097,0.004076998503380296,0.9918791118421053,9728,1.0,0.0,76,,,0,0.00015543236101756385,0.9996891835888935,9652
qwen3_4b_base,0,down,10,76,0.2426619964066434,0.1337030996567508,-0.10895889674989259,0.004128819157720892,0.9917763157894737,9728,1.0,0.0,76,,,0,0.0002072538860103627,0.9995855781185247,9652
qwen3_4b_base,0,down,11,76,0.22928104076160688,0.13161756049032458,-0.0976634802712823,0.004025183197440396,0.9919819078947368,9728,1.0,0.0,76,,,0,0.00010361620557455187,0.9997927890592623,9652
qwen3_4b_base,0,down,12,76,0.23979953164658127,0.1593311932339454,-0.08046833841263587,0.004232476514916899,0.9915707236842105,9728,1.0,0.0,76,,,0,0.00031091304798424707,0.9993783671777869,9652
qwen3_4b_base,0,down,13,76,0.20085026328001135,0.14437585035387265,-0.056474412926138695,0.0043361552756555856,0.9913651315789473,9728,1.0,0.0,76,,,0,0.00041459369817578774,0.9991711562370493,9652
qwen3_4b_base,0,down,14,76,0.20293398663345222,0.1564347398544432,-0.04649924677900902,0.004128819157720892,0.9917763157894737,9728,1.0,0.0,76,,,0,0.0002072538860103627,0.9995855781185247,9652
qwen3_4b_base,0,down,15,76,0.2177719760758802,0.17896513763284547,-0.03880683844303473,0.0041806451612903224,0.9916735197368421,9728,1.0,0.0,76,,,0,0.0002590807813876367,0.9994819726481559,9652
qwen3_4b_base,0,down,16,76,0.9885551026854682,0.9890856578076985,0.0005305551222303251,0.0041806451612903224,0.9916735197368421,9728,1.0,0.0,76,,,0,0.0002590807813876367,0.9994819726481559,9652
qwen3_4b_base,0,down,17,76,0.22611791691462074,0.17738724596083605,-0.048730670953784694,0.0041806451612903224,0.9916735197368421,9728,1.0,0.0,76,,,0,0.0002590807813876367,0.9994819726481559,9652
qwen3_4b_base,0,down,18,76,0.22746838876003445,0.18648365435455408,-0.040984734405480366,0.004128819157720892,0.9917763157894737,9728,1.0,0.0,76,,,0,0.0002072538860103627,0.9995855781185247,9652
qwen3_4b_base,0,down,19,76,0.2234534685684392,0.18484131392273762,-0.038612154645701585,0.004232476514916899,0.9915707236842105,9728,1.0,0.0,76,,,0,0.00031091304798424707,0.9993783671777869,9652
