model,row,site,layer,seed,group,m,k,s_meas,s_hadamard,f_calibration,f_test_capture,s_pred,relative_error,observations,groups_measured,f_definition
qwen3_4b_base,E22_k8,qkv,1,0,128,1,8,0.009363462400736022,0.01282944693707062,0.41578101158253256,0.41468493680560536,0.009806087610360864,0.04727153169217075,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,1,1,128,1,8,0.009374064046106944,0.012812541285719093,0.41578101158253256,0.41468493691105274,0.009793165907728128,0.044708662065866434,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,1,2,128,1,8,0.009361736784135388,0.012796958101900202,0.41578101158253256,0.41468493702573417,0.00978125502282982,0.04481200960545677,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,1,0,128,1,20,0.008695494081860388,0.01282944693707062,0.49209996127171246,0.48826380817129056,0.009143175538555755,0.05148430353477817,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,1,1,128,1,20,0.008685151634554921,0.012812541285719093,0.49209996127171246,0.4882638081803093,0.009131127370099327,0.05134921695207231,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,1,2,128,1,20,0.008688150829062203,0.012796958101900202,0.49209996127171246,0.48826380793864926,0.00912002168598024,0.04970802940867607,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,1,0,128,1,8,0.004176126735234104,0.008337682367016205,0.39130929408842463,0.3904742084920193,0.006504945787352903,0.5576504736962324,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,1,1,128,1,8,0.00417597115667372,0.008329723341684218,0.39130929408842463,0.3904742098823319,0.006498736264607164,0.5562215400413812,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,1,2,128,1,8,0.004176414735067654,0.008334383963387908,0.39130929408842463,0.39047420569616115,0.006502372417938909,0.5569268931414152,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,1,0,128,1,76,0.004074029716144162,0.008337682367016205,0.501865342403,0.4794122811466305,0.005884624093108061,0.4444234586186386,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,1,1,128,1,76,0.004073981847782552,0.008329723341684218,0.501865342403,0.4794122832871707,0.005879006720058261,0.4430615893043745,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,1,2,128,1,76,0.004074082479636999,0.008334383963387908,0.501865342403,0.47941228220168236,0.00588229612418271,0.443833342496989,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,2,0,128,1,8,0.014927452529504582,0.018013181430767668,0.2749713317712415,0.27127188035979,0.015337974554254149,0.02750114421319761,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,2,1,128,1,8,0.01493400711802879,0.018007291342794572,0.2749713317712415,0.27127188044257633,0.01533295922590691,0.026714337600421505,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,2,2,128,1,8,0.014928468166752218,0.01801098634710101,0.2749713317712415,0.27127188040142375,0.015336105470907985,0.027306037002753726,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,2,0,128,1,20,0.014101164912654252,0.018013181430767668,0.35491293375136157,0.3491073505042307,0.014467703193202978,0.025993475207129746,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,2,1,128,1,20,0.01409048357762952,0.018007291342794572,0.35491293375136157,0.34910735046468927,0.014462972432848172,0.026435491242474206,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,2,2,128,1,20,0.014092626474844393,0.01801098634710101,0.35491293375136157,0.34910735047783414,0.014465940160998173,0.026490000768852547,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,2,0,128,1,8,0.005036064230231121,0.009112917069304248,0.09857768554781864,0.0854813113856583,0.008652100798693893,0.7180282862073069,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,2,1,128,1,8,0.005036420347847517,0.00911291653592153,0.09857768554781864,0.08548131139794378,0.008652100292282937,0.7179067064925789,131072,9961472,saved factor eigenvalue sum / calibration trace
