model,solver,site,layer,k,captured_fraction,ritz_residual_median,ritz_residual_max,principal_angle_max_deg
qwen3_4b_base,S1,down,0,76,0.008394880567672304,2.726857089287839,6.840472654153956,89.99625358529093
qwen3_4b_base,S2,down,0,76,0.20708565174151222,0.49129125450503525,0.6291806509332669,89.91895087596733
qwen3_4b_base,S3,down,0,76,0.24686632489254273,0.20055255421746776,0.3035362906827718,89.33192482382482
qwen3_4b_base,S4,down,0,76,0.26058407872741496,3.77509475004952e-15,6.221666360176479e-15,9.35262170110869e-06
qwen3_4b_base,S1,down,1,76,0.008341708049433242,2.9616147498964116,10.747662430490015,89.86863232777752
qwen3_4b_base,S2,down,1,76,0.4726153942162152,0.501593120014157,0.5898447244147335,89.17007761641459
qwen3_4b_base,S3,down,1,76,0.5015648100859205,0.19201485427298956,0.3077101204523859,86.02675273194629
qwen3_4b_base,S4,down,1,76,0.511178122489294,2.74349398828206e-14,1.6050942209991715e-13,8.872676000826597e-06
qwen3_4b_base,S1,down,2,76,0.008488139478866237,3.22222420696685,7.417448442676708,89.92110761063492
qwen3_4b_base,S2,down,2,76,0.23333221092536835,0.47994912839965176,0.5956013028852281,89.56753816453053
qwen3_4b_base,S3,down,2,76,0.2797805617982814,0.1825028219222689,0.296508192661527,87.91279436589642
qwen3_4b_base,S4,down,2,76,0.2940791575049548,3.721526244042278e-15,1.3101269196141318e-14,9.391510108767544e-06
qwen3_4b_base,S1,down,3,76,0.008455110268593085,2.757835595536508,6.955440073254621,89.93468340451135
qwen3_4b_base,S2,down,3,76,0.2175337711000601,0.5353389879639838,0.6312185363930267,88.4789479264757
qwen3_4b_base,S3,down,3,76,0.25880121505094833,0.19893585014165466,0.32061489085435735,83.18898327717562
qwen3_4b_base,S4,down,3,76,0.2711293214084273,4.270911203531502e-15,1.1531189713034044e-14,8.45192788808014e-06
qwen3_4b_base,S1,down,4,76,0.008383877838343039,2.6604170260915447,8.33703401879415,89.98291134294794
