model,row,site,layer,seed,round_trip,tolerance
qwen3_4b_base,E22_kmax,down,23,2,2.0248035070835613e-07,1e-06
qwen3_4b_base,E22_k8,qkv,24,0,1.379455625283299e-07,1e-06
qwen3_4b_base,E22_k8,qkv,24,1,1.3764302764229797e-07,1e-06
qwen3_4b_base,E22_k8,qkv,24,2,1.3537366783111793e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,24,0,1.6705597261079674e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,24,1,1.6829956450692407e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,24,2,1.6580584372150042e-07,1e-06
qwen3_4b_base,E22_k8,down,24,0,1.479752427258063e-07,1e-06
qwen3_4b_base,E22_k8,down,24,1,1.4580081142412382e-07,1e-06
qwen3_4b_base,E22_k8,down,24,2,1.480350704241573e-07,1e-06
qwen3_4b_base,E22_kmax,down,24,0,2.2163548862863536e-07,1e-06
qwen3_4b_base,E22_kmax,down,24,1,2.2371169450252637e-07,1e-06
qwen3_4b_base,E22_kmax,down,24,2,2.2324462634060183e-07,1e-06
qwen3_4b_base,E22_k8,qkv,25,0,1.366202866392996e-07,1e-06
qwen3_4b_base,E22_k8,qkv,25,1,1.3780670826690766e-07,1e-06
qwen3_4b_base,E22_k8,qkv,25,2,1.3740464055445045e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,25,0,1.6084010212580324e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,25,1,1.5924634055863862e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,25,2,1.6043067319060356e-07,1e-06
qwen3_4b_base,E22_k8,down,25,0,1.3576641322288197e-07,1e-06
qwen3_4b_base,E22_k8,down,25,1,1.348990537053396e-07,1e-06
qwen3_4b_base,E22_k8,down,25,2,1.3452603297992027e-07,1e-06
qwen3_4b_base,E22_kmax,down,25,0,2.0576894144141988e-07,1e-06
qwen3_4b_base,E22_kmax,down,25,1,2.0717887139198865e-07,1e-06
qwen3_4b_base,E22_kmax,down,25,2,2.0790817245597282e-07,1e-06
qwen3_4b_base,E22_k8,qkv,26,0,1.4740560061454744e-07,1e-06
qwen3_4b_base,E22_k8,qkv,26,1,1.484917220295756e-07,1e-06
qwen3_4b_base,E22_k8,qkv,26,2,1.4905229761552619e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,26,0,1.7187495870985003e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,26,1,1.7234246740827075e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,26,2,1.718361346547681e-07,1e-06
qwen3_4b_base,E22_k8,down,26,0,1.5825109755951416e-07,1e-06
qwen3_4b_base,E22_k8,down,26,1,1.5562581268113718e-07,1e-06
qwen3_4b_base,E22_k8,down,26,2,1.5809092701601912e-07,1e-06
qwen3_4b_base,E22_kmax,down,26,0,2.3159566353569971e-07,1e-06
qwen3_4b_base,E22_kmax,down,26,1,2.307788093958152e-07,1e-06
qwen3_4b_base,E22_kmax,down,26,2,2.3140687233080826e-07,1e-06
qwen3_4b_base,E22_k8,qkv,27,0,1.4901861788985116e-07,1e-06
qwen3_4b_base,E22_k8,qkv,27,1,1.4771485723485966e-07,1e-06
qwen3_4b_base,E22_k8,qkv,27,2,1.46490393149179e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,27,0,1.791117938410025e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,27,1,1.7940931229531998e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,27,2,1.81911147478786e-07,1e-06
qwen3_4b_base,E22_k8,down,27,0,1.2127834736475052e-07,1e-06
qwen3_4b_base,E22_k8,down,27,1,1.217175906731427e-07,1e-06
qwen3_4b_base,E22_k8,down,27,2,1.2134063354096725e-07,1e-06
qwen3_4b_base,E22_kmax,down,27,0,2.1899315072460013e-07,1e-06
qwen3_4b_base,E22_kmax,down,27,1,2.2148196876514703e-07,1e-06
qwen3_4b_base,E22_kmax,down,27,2,2.1957441731501603e-07,1e-06
qwen3_4b_base,E22_k8,qkv,28,0,1.515026042397949e-07,1e-06
qwen3_4b_base,E22_k8,qkv,28,1,1.5136701847495715e-07,1e-06
qwen3_4b_base,E22_k8,qkv,28,2,1.5308125966839725e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,28,0,1.7285691455981578e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,28,1,1.749355647007178e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,28,2,1.7786011596854223e-07,1e-06
qwen3_4b_base,E22_k8,down,28,0,1.457854494901767e-07,1e-06
qwen3_4b_base,E22_k8,down,28,1,1.4678931847811327e-07,1e-06
