model,layer,rank,eigenvalue,fraction_total,cumulative_fraction
llama32_3b,1,115,0.3257094798999935,0.0006732467231009513,0.9940186565159125
llama32_3b,1,116,0.3193944587760463,0.0006601934730717652,0.9946788499889844
llama32_3b,1,117,0.3041960419110557,0.0006287781014534173,0.9953076280904377
llama32_3b,1,118,0.29080165796360286,0.0006010916948331757,0.9959087197852708
llama32_3b,1,119,0.28545000449243974,0.0005900297412058552,0.9964987495264768
llama32_3b,1,120,0.27080691358008085,0.000559762237245449,0.9970585117637222
llama32_3b,1,121,0.24489573784643626,0.0005062034210890223,0.9975647151848113
llama32_3b,1,122,0.23664212576203295,0.00048914307242715,0.9980538582572385
llama32_3b,1,123,0.22196441848479204,0.00045880401588488563,0.9985126622731232
llama32_3b,1,124,0.20265478242584675,0.00041889068820112136,0.9989315529613244
llama32_3b,1,125,0.1777307342420036,0.00036737228053507865,0.9992989252418595
llama32_3b,1,126,0.15254348010797983,0.0003153098219451445,0.9996142350638046
llama32_3b,1,127,0.09931004804189948,0.00020527546338453443,0.9998195105271891
llama32_3b,1,128,0.0873188539943271,0.00018048947281074302,1.0
llama32_3b,2,1,50.430390086099166,0.11761123590286544,0.11761123590286544
llama32_3b,2,2,45.97782987192626,0.10722719745250356,0.22483843335536902
llama32_3b,2,3,42.14036584915956,0.09827765560522009,0.32311608896058913
llama32_3b,2,4,23.376096270240996,0.05451656368776003,0.3776326526483491
llama32_3b,2,5,19.69685095950711,0.04593601161496312,0.4235686642633122
llama32_3b,2,6,16.36330307901587,0.03816167781551028,0.4617303420788225
llama32_3b,2,7,11.72871220593424,0.027353116557969685,0.4890834586367922
llama32_3b,2,8,10.634620676660425,0.024801530961882482,0.5138849895986746
llama32_3b,2,9,3.3669477795688416,0.00785222737518845,0.5217372169738631
llama32_3b,2,10,3.3656806661684064,0.007849272276629826,0.5295864892504929
llama32_3b,2,11,2.8677018396274208,0.006687910939885221,0.5362744001903782
llama32_3b,2,12,2.861107384838497,0.006672531681931698,0.5429469318723099
llama32_3b,2,13,2.757999437757952,0.0064320684797465385,0.5493790003520564
llama32_3b,2,14,2.748315728067362,0.0064094846158721875,0.5557884849679287
llama32_3b,2,15,2.731339556462391,0.006369893636703655,0.5621583786046322
llama32_3b,2,16,2.7112295485373594,0.006322994081057915,0.5684813726856902
llama32_3b,2,17,2.660415308867429,0.006204487650335455,0.5746858603360256
llama32_3b,2,18,2.6572022585093924,0.00619699433483697,0.5808828546708626
llama32_3b,2,19,2.6503805379800145,0.006181085059079349,0.587063939729942
llama32_3b,2,20,2.5805554037628453,0.006018242370011426,0.5930821820999533
llama32_3b,2,21,2.575627327210709,0.006006749356117797,0.5990889314560712
llama32_3b,2,22,2.5247537002566425,0.00588810442533868,0.6049770358814099
llama32_3b,2,23,2.518006356988416,0.005872368608513108,0.6108494044899231
llama32_3b,2,24,2.395991698063907,0.0055878121176773645,0.6164372166076003
llama32_3b,2,25,2.3931849796645226,0.005581266429269653,0.62201848303687
llama32_3b,2,26,2.3599167127032654,0.0055036798393785225,0.6275221628762485
llama32_3b,2,27,2.358264752155958,0.005499827219533625,0.6330219900957822
llama32_3b,2,28,2.326717733583373,0.005426254839128917,0.6384482449349111
llama32_3b,2,29,2.3143306200522225,0.005397366231898624,0.6438456111668097
llama32_3b,2,30,2.3136709562636075,0.005395827796972246,0.649241438963782
llama32_3b,2,31,2.3060228087446877,0.0053779911694837035,0.6546194301332657
llama32_3b,2,32,2.3043580314640284,0.005374108659093697,0.6599935387923593
llama32_3b,2,33,2.3026073019369644,0.005370025695169403,0.6653635644875286
llama32_3b,2,34,2.29348354611091,0.0053487477277187005,0.6707123122152475
llama32_3b,2,35,2.2796507066580007,0.005316487470732289,0.6760287996859796
llama32_3b,2,36,2.2070360673838505,0.005147139237353708,0.6811759389233334
llama32_3b,2,37,2.2059316321478057,0.005144563528681534,0.6863205024520149
