model,layer,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,20,128,nar,1.84042227268219,0.009428734911676043,0.022493702134433018,-0.00048793524041501266,65536
llama32_3b,21,32,bf16,1.7545199394226074,0.0,-0.04168294519655971,-0.006081415410220313,65536
llama32_3b,21,32,identity,1.7545199394226074,0.006815806700527157,-0.04168294519655971,0.0007343912903068437,65536
llama32_3b,21,32,hadamard,1.6843128204345703,0.006081415410220313,0.0,0.0,65536
llama32_3b,21,32,nar,1.5753446817398071,0.005383023547800777,0.06469590290635457,-0.0006983918624195364,65536
llama32_3b,21,64,bf16,2.078979015350342,0.0,-0.09282126040263544,-0.007962388977670404,65536
llama32_3b,21,64,identity,2.078979015350342,0.009769005509059368,-0.09282126040263544,0.0018066165313889646,65536
llama32_3b,21,64,hadamard,1.9023962020874023,0.007962388977670404,0.0,0.0,65536
llama32_3b,21,64,nar,1.8201828002929688,0.007335362165813342,0.04321570958995031,-0.0006270268118570618,65536
llama32_3b,21,128,bf16,2.4407596588134766,0.0,-0.1575591961742484,-0.009901233564043495,65536
llama32_3b,21,128,identity,2.4407596588134766,0.013510847273949253,-0.1575591961742484,0.0036096137099057585,65536
llama32_3b,21,128,hadamard,2.1085398197174072,0.009901233564043495,0.0,0.0,65536
llama32_3b,21,128,nar,2.054037570953369,0.009391312968036018,0.025848337439196494,-0.0005099205960074765,65536
llama32_3b,22,32,bf16,1.895587682723999,0.0,-0.03805217266873485,-0.00613357971786066,65536
