model,model_id,site,method,seed,sequence,nll,tokens_scored,reused_deterministic_run,weight_fold_max_relative_error
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,23,2.272864580154419,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,24,2.30611515045166,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,25,2.3787121772766113,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,26,2.4489264488220215,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,27,2.2584729194641113,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,28,2.0335328578948975,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,29,1.8323609828948975,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,30,1.7437098026275635,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,31,1.7594984769821167,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,32,2.045285701751709,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,33,2.0074217319488525,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,34,2.1845481395721436,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,35,1.487674355506897,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,36,1.4765715599060059,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,37,1.5015292167663574,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,38,1.5076731443405151,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,39,1.7072795629501343,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,40,2.30700421333313,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,41,2.7313385009765625,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,42,2.723811149597168,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,43,2.3552331924438477,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,44,2.3256146907806396,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,45,2.308516025543213,2047,False,0.0
