model,site,layer,n,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,evaluation_tokens
llama32_3b,q_input,11,3072,128,hadamard_full,1.9551019668579102,0.009917416630577805,0.0,0.0,8192
llama32_3b,q_input,11,3072,128,nar_kmax,1.538569450378418,0.006190809275051461,0.2130489987429716,-0.0037266073555263443,8192
llama32_3b,q_input,12,3072,128,bf16,3.576326370239258,0.0,-0.5307377741348972,-0.009877360995867617,8192
llama32_3b,q_input,12,3072,128,identity,3.576326370239258,0.028357847070036562,-0.5307377741348972,0.018480486074168946,8192
llama32_3b,q_input,12,3072,128,hadamard_full,2.336341619491577,0.009877360995867617,0.0,0.0,8192
llama32_3b,q_input,12,3072,128,nar_kmax,1.7724425792694092,0.005728879059863655,0.24135984032372834,-0.004148481936003963,8192
llama32_3b,q_input,13,3072,128,bf16,3.6909310817718506,0.0,-0.5540244517960803,-0.009882531747665574,8192
llama32_3b,q_input,13,3072,128,identity,3.6909310817718506,0.028475293201966012,-0.5540244517960803,0.018592761454300437,8192
llama32_3b,q_input,13,3072,128,hadamard_full,2.3750791549682617,0.009882531747665574,0.0,0.0,8192
llama32_3b,q_input,13,3072,128,nar_kmax,1.7942447662353516,0.005689528549895828,0.24455369730221554,-0.004193003197769746,8192
llama32_3b,q_input,14,3072,128,bf16,3.462327003479004,0.0,-0.5180777829662498,-0.009899936029348744,8192
llama32_3b,q_input,14,3072,128,identity,3.462327003479004,0.02703370417754162,-0.5180777829662498,0.017133768148192875,8192
llama32_3b,q_input,14,3072,128,hadamard_full,2.280730962753296,0.009899936029348744,0.0,0.0,8192
llama32_3b,q_input,14,3072,128,nar_kmax,1.7762207984924316,0.006053676719323012,0.2212054698691073,-0.003846259310025732,8192
llama32_3b,q_input,15,3072,128,bf16,3.689556121826172,0.0,-0.5495344523672298,-0.009904472864058425,8192
llama32_3b,q_input,15,3072,128,identity,3.689556121826172,0.028256048891921064,-0.5495344523672298,0.018351576027862637,8192
llama32_3b,q_input,15,3072,128,hadamard_full,2.3810739517211914,0.009904472864058425,0.0,0.0,8192
llama32_3b,q_input,15,3072,128,nar_kmax,1.8332774639129639,0.005921565998299001,0.23006277793776436,-0.003982906865759424,8192
llama32_3b,q_input,16,3072,128,bf16,3.690310478210449,0.0,-0.5322512275702751,-0.009929072216949162,8192
llama32_3b,q_input,16,3072,128,identity,3.690310478210449,0.026993930564655575,-0.5322512275702751,0.017064858347706414,8192
llama32_3b,q_input,16,3072,128,hadamard_full,2.408423900604248,0.009929072216949162,0.0,0.0,8192
llama32_3b,q_input,16,3072,128,nar_kmax,1.876894474029541,0.006081476228211642,0.2206959607240868,-0.0038475959887375203,8192
llama32_3b,q_input,17,3072,128,bf16,3.613144636154175,0.0,-0.5054361938616427,-0.009937826981535839,8192
llama32_3b,q_input,17,3072,128,identity,3.613144636154175,0.025537151373255983,-0.5054361938616427,0.015599324391720144,8192
llama32_3b,q_input,17,3072,128,hadamard_full,2.4000649452209473,0.009937826981535839,0.0,0.0,8192
llama32_3b,q_input,17,3072,128,nar_kmax,1.8989906311035156,0.006286679992924282,0.20877531464937224,-0.0036511469886115573,8192
llama32_3b,q_input,18,3072,128,bf16,4.011804103851318,0.0,-0.5703434224431645,-0.009906962164205906,8192
llama32_3b,q_input,18,3072,128,identity,4.011804103851318,0.02818112678223234,-0.5703434224431645,0.01827416461802643,8192
llama32_3b,q_input,18,3072,128,hadamard_full,2.5547304153442383,0.009906962164205906,0.0,0.0,8192
llama32_3b,q_input,18,3072,128,nar_kmax,1.9796284437179565,0.0060159576528969125,0.22511258650701482,-0.0038910045113089934,8192
llama32_3b,q_input,19,3072,128,bf16,3.735776901245117,0.0,-0.525103992654109,-0.009916428577261393,8192
llama32_3b,q_input,19,3072,128,identity,3.735776901245117,0.026206814964130406,-0.525103992654109,0.016290386386869013,8192
llama32_3b,q_input,19,3072,128,hadamard_full,2.4495227336883545,0.009916428577261393,0.0,0.0,8192
llama32_3b,q_input,19,3072,128,nar_kmax,1.9348344802856445,0.006259709962564825,0.210117769606376,-0.0036567186146965677,8192
llama32_3b,q_input,20,3072,128,bf16,3.814521312713623,0.0,-0.5216060912701432,-0.00992897388624065,8192
llama32_3b,q_input,20,3072,128,identity,3.814521312713623,0.026196831702445862,-0.5216060912701432,0.01626785781620521,8192
llama32_3b,q_input,20,3072,128,hadamard_full,2.5069046020507812,0.00992897388624065,0.0,0.0,8192
llama32_3b,q_input,20,3072,128,nar_kmax,1.9699091911315918,0.006211275763780138,0.214206559946437,-0.0037176981224605115,8192
llama32_3b,q_input,21,3072,128,bf16,3.9164280891418457,0.0,-0.5344305741832298,-0.009898163505785866,8192
