model,layer,b,k,nar_mean_group_range,dc_absorption_fraction_vs_k0,identity_residual_range_after_projection,projection_range_attribution_fraction
llama32_3b,10,128,0,9.2862548828125,0.0,14.889596939086914,0.0
llama32_3b,10,128,1,9.023927688598633,0.028248976312226413,12.921343803405762,0.13218981976028243
llama32_3b,11,32,0,7.753900527954102,0.0,10.20846176147461,0.0
llama32_3b,11,32,1,7.441994667053223,0.04022567219896701,9.526223182678223,0.06683069347147533
llama32_3b,11,32,2,7.149332046508789,0.07796959469182543,9.11490249633789,0.10712282522952356
llama32_3b,11,32,3,6.931419849395752,0.10607315319472695,8.479923248291016,0.16932409148133076
llama32_3b,11,32,4,6.635219097137451,0.14427337915718905,7.795578956604004,0.23636105627358153
llama32_3b,11,64,0,8.95793628692627,0.0,14.073566436767578,0.0
llama32_3b,11,64,1,8.575397491455078,0.04270389777492509,12.732963562011719,0.09525679796796195
llama32_3b,11,64,2,8.198495864868164,0.08477850229482842,11.949569702148438,0.15092100102431327
llama32_3b,11,128,0,10.152305603027344,0.0,19.593305587768555,0.0
llama32_3b,11,128,1,9.639148712158203,0.05054584750838479,17.427587509155273,0.11053357326112785
llama32_3b,12,32,0,7.47091007232666,0.0,8.50220012664795,0.0
llama32_3b,12,32,1,7.1629791259765625,0.04121732738970032,7.897068977355957,0.071173477485594
llama32_3b,12,32,2,6.918462753295898,0.0739464554763023,7.478727340698242,0.12037740475455241
llama32_3b,12,32,3,6.672476768493652,0.10687229482128571,7.108374118804932,0.16393709711377297
llama32_3b,12,32,4,6.511847496032715,0.12837292471856313,6.8099164962768555,0.19904067243337029
llama32_3b,12,64,0,8.556756973266602,0.0,11.600427627563477,0.0
llama32_3b,12,64,1,8.198911666870117,0.041820202153044723,10.4220552444458,0.10158008143749594
llama32_3b,12,64,2,7.858262538909912,0.08163074357948422,9.66047477722168,0.16723114980109224
llama32_3b,12,128,0,9.634188652038574,0.0,14.226090431213379,0.0
llama32_3b,12,128,1,9.16893196105957,0.04829225457200867,12.365406036376953,0.13079379776427608
llama32_3b,13,32,0,7.825610160827637,0.0,9.192671775817871,0.0
llama32_3b,13,32,1,7.465290069580078,0.046043705710156556,8.611685752868652,0.06320099717663731
llama32_3b,13,32,2,7.135476112365723,0.08818916790878394,7.864870548248291,0.1444412745228735
