model,layer,b,position,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,1,32,512,identity,8.729942321777344,0.007914225216263799,-0.13930697737169553,0.0022521383628419074,65536
llama32_3b,1,32,512,hadamard,7.662502288818359,0.0056620868534218915,0.0,0.0,65536
llama32_3b,1,32,512,nar,6.077110767364502,0.0036428769154583855,0.20690258373786952,-0.002019209937963506,65536
llama32_3b,1,32,1024,bf16,8.822080612182617,0.0,-0.1441276310383305,-0.005726153077713977,65536
llama32_3b,1,32,1024,identity,8.822080612182617,0.00809492522183364,-0.1441276310383305,0.0023687721441196623,65536
llama32_3b,1,32,1024,hadamard,7.710748672485352,0.005726153077713977,0.0,0.0,65536
llama32_3b,1,32,1024,nar,5.989865303039551,0.0035502995175960704,0.22317980296602255,-0.0021758535601179066,65536
llama32_3b,1,32,2048,bf16,8.764968872070312,0.0,-0.14416672024979926,-0.005663734637308104,65536
llama32_3b,1,32,2048,identity,8.764968872070312,0.008054146565269892,-0.14416672024979926,0.0023904119279617875,65536
llama32_3b,1,32,2048,hadamard,7.660569667816162,0.005663734637308104,0.0,0.0,65536
llama32_3b,1,32,2048,nar,6.161045074462891,0.003740195821655695,0.1957458333226997,-0.0019235388156524091,65536
llama32_3b,1,64,0,bf16,11.135396957397461,0.0,-0.31317253882280965,-0.007108186849099594,65536
llama32_3b,1,64,0,identity,11.135396957397461,0.012652597559756862,-0.31317253882280965,0.005544410710657268,65536
llama32_3b,1,64,0,hadamard,8.479766845703125,0.007108186849099594,0.0,0.0,65536
llama32_3b,1,64,0,nar,7.338900566101074,0.005381947513416384,0.13453981699746279,-0.0017262393356832105,65536
llama32_3b,1,64,512,bf16,10.918505668640137,0.0,-0.2507388272453007,-0.0075514050787891755,65536
llama32_3b,1,64,512,identity,10.918505668640137,0.012182774744672569,-0.2507388272453007,0.004631369665883393,65536
llama32_3b,1,64,512,hadamard,8.729644775390625,0.0075514050787891755,0.0,0.0,65536
llama32_3b,1,64,512,nar,7.445508003234863,0.0055399766007567875,0.1471006902567007,-0.002011428478032388,65536
llama32_3b,1,64,1024,bf16,11.218426704406738,0.0,-0.29226738221932497,-0.007455643999371993,65536
llama32_3b,1,64,1024,identity,11.218426704406738,0.012786750848559581,-0.29226738221932497,0.005331106849187589,65536
llama32_3b,1,64,1024,hadamard,8.681196212768555,0.007455643999371993,0.0,0.0,65536
llama32_3b,1,64,1024,nar,7.482138156890869,0.005638338450144787,0.13812129417303992,-0.0018173055492272062,65536
llama32_3b,1,64,2048,bf16,11.290182113647461,0.0,-0.2810076391186761,-0.0076812537048908,65536
llama32_3b,1,64,2048,identity,11.290182113647461,0.012906072015281635,-0.2810076391186761,0.0052248183103908346,65536
llama32_3b,1,64,2048,hadamard,8.813516616821289,0.0076812537048908,0.0,0.0,65536
llama32_3b,1,64,2048,nar,7.412867546081543,0.005483052550920865,0.15892056844443878,-0.002198201153969935,65536
llama32_3b,2,32,0,bf16,8.382123947143555,0.0,-0.15564152197196943,-0.005774506232168854,65536
llama32_3b,2,32,0,identity,8.382123947143555,0.009251895074029489,-0.15564152197196943,0.0034773888418606347,65536
llama32_3b,2,32,0,hadamard,7.25322151184082,0.005774506232168854,0.0,0.0,65536
