model,site,layer,n,b,k,dc_slots,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_k0,range_reduction_vs_hadamard,range_reduction_vs_identity,nmse_delta_vs_hadamard,absorbed_energy_fraction,sqrt_one_minus_absorbed_energy_fraction,normalized_range_vs_k0,evaluation_tokens,anchor_mapping_max_abs_error
llama32_3b,q_input,0,3072,128,17,24,0.3891119360923767,0.004024996368625463,0.3165273487892735,0.4127268726540885,0.6815114302310049,-0.005843494033947681,0.5370672610249471,0.6803916070727599,0.6834726512107265,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,18,24,0.3847990930080414,0.003960095729548481,0.32410283035046294,0.41923609689255664,0.685041497284106,-0.005908394673024663,0.5451691225203144,0.6744115045576295,0.675897169649537,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,19,24,0.3805781304836273,0.0039016388143329034,0.3315169242900986,0.4256066489938781,0.6884963599926351,-0.00596685158824024,0.5526866553304789,0.6688148807177672,0.6684830757099014,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,20,24,0.3768305778503418,0.003852409239782777,0.33809947675442426,0.4312626999928392,0.6915637361576927,-0.006016081162790367,0.559700543964422,0.6635506431581375,0.6619005232455757,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,21,24,0.3734781742095947,0.0038024164082670793,0.3439879525161288,0.4363223663448885,0.6943076824152972,-0.0060660739943060645,0.5663220107486582,0.6585423215339632,0.6560120474838712,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,22,24,0.3691942095756531,0.0037518563167231135,0.3515127092621105,0.44278800534141866,0.6978141124233479,-0.00611663408585003,0.5724209957782734,0.6538952547784137,0.6484872907378896,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,23,24,0.3660697937011719,0.0037127554254181333,0.35700072595638527,0.44750357767816695,0.7003714504305553,-0.006155734977155011,0.5780613532693462,0.6495680462666354,0.6429992740436148,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,24,24,0.36348628997802734,0.003675254506106439,0.36153863388283647,0.45140277009625995,0.7024860512162321,-0.006193235896466705,0.5833845861595889,0.6454575228784704,0.6384613661171635,8192,2.384185791015625e-07
llama32_3b,q_input,1,3072,128,0,24,0.9995328783988953,0.007628463223439829,0.0,0.12969982095129357,0.5402508179561596,-0.002264063290896446,0.0,1.0,1.0,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,1,24,0.8568061590194702,0.00562629775532855,0.14279342127099637,0.25397296105041905,0.6058999765867418,-0.004266228759007725,0.3060136063409284,0.8330584575280846,0.8572065787290036,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,2,24,0.8337971568107605,0.0053565221057424815,0.16581317650462787,0.27400705815190596,0.6164832902262533,-0.004536004408593794,0.3438386167895576,0.8100378899844392,0.8341868234953721,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,3,24,0.8142799735069275,0.005157961948290568,0.18533948096706504,0.2910008044217246,0.6254604927311977,-0.004734564566045708,0.3729632403187626,0.7918565272075727,0.814660519032935,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,4,24,0.8003906011581421,0.004989724526007617,0.1992353443738137,0.30309437683265433,0.6318491045662433,-0.0049028019883286585,0.3973785661450591,0.7762869532942963,0.8007646556261863,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,5,24,0.7886549830436707,0.004863214070508605,0.21097644701094775,0.3133126605599813,0.6372470668999585,-0.00502931244382767,0.4152164269046179,0.7647114312571652,0.7890235529890522,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,6,24,0.7800173759460449,0.0047578595093013916,0.2196180908070597,0.3208334847030127,0.6412200555667352,-0.005134667005034884,0.4298621199598751,0.7550747512929596,0.7803819091929403,8192,1.7881393432617188e-07
