model,site,layer,method,nar_group_size,fp4_block_size,scale_rule,layer_global_nmse,transformed_pearson_kurtosis,blocks
llama32_3b,down_input,1,identity,,16,mse_optimal,0.0007908185497042959,129564.5234375,1048576
llama32_3b,down_input,1,hadamard_b16,,16,absmax,0.001304564696283022,8097.90625,1048576
llama32_3b,down_input,1,hadamard_b16,,16,mse_optimal,0.0007907685040657626,8097.90625,1048576
llama32_3b,down_input,1,nar_b128,128,16,absmax,0.000378961965172911,1021.7498779296875,1048576
llama32_3b,down_input,1,nar_b128,128,16,mse_optimal,1.1386684670773335e-05,1021.7498779296875,1048576
llama32_3b,down_input,1,nar_b16,16,16,absmax,0.0015123968720236838,8187.98828125,1048576
llama32_3b,down_input,1,nar_b16,16,16,mse_optimal,0.0006359909947780811,8187.98828125,1048576
llama32_3b,down_input,2,identity,,16,absmax,0.008004071938597226,928.4883422851562,1048576
llama32_3b,down_input,2,identity,,16,mse_optimal,0.006793022199185876,928.4883422851562,1048576
llama32_3b,down_input,2,hadamard_b16,,16,absmax,0.011088910354660128,60.92717742919922,1048576
llama32_3b,down_input,2,hadamard_b16,,16,mse_optimal,0.006552175416059357,60.92717742919922,1048576
llama32_3b,down_input,2,nar_b128,128,16,absmax,0.01137682433889816,9.931177139282227,1048576
llama32_3b,down_input,2,nar_b128,128,16,mse_optimal,0.007308987671173917,9.931177139282227,1048576
llama32_3b,down_input,2,nar_b16,16,16,absmax,0.011089669759470238,58.22201156616211,1048576
llama32_3b,down_input,2,nar_b16,16,16,mse_optimal,0.006405961919962519,58.22201156616211,1048576
llama32_3b,down_input,3,identity,,16,absmax,0.008480124393282868,242.86709594726562,1048576
llama32_3b,down_input,3,identity,,16,mse_optimal,0.007229577740785201,242.86709594726562,1048576
llama32_3b,down_input,3,hadamard_b16,,16,absmax,0.010752432863710144,18.29460334777832,1048576
llama32_3b,down_input,3,hadamard_b16,,16,mse_optimal,0.006950301434184238,18.29460334777832,1048576
llama32_3b,down_input,3,nar_b128,128,16,absmax,0.010173267027643974,5.012442111968994,1048576
llama32_3b,down_input,3,nar_b128,128,16,mse_optimal,0.0071608272363978265,5.012442111968994,1048576
llama32_3b,down_input,3,nar_b16,16,16,absmax,0.010881942890173782,18.16223907470703,1048576
llama32_3b,down_input,3,nar_b16,16,16,mse_optimal,0.006827000469979274,18.16223907470703,1048576
llama32_3b,down_input,4,identity,,16,absmax,0.008347349630390783,295.6678771972656,1048576
llama32_3b,down_input,4,identity,,16,mse_optimal,0.007037664894985177,295.6678771972656,1048576
llama32_3b,down_input,4,hadamard_b16,,16,absmax,0.010375237823362134,21.540496826171875,1048576
llama32_3b,down_input,4,hadamard_b16,,16,mse_optimal,0.006723076431476085,21.540496826171875,1048576
llama32_3b,down_input,4,nar_b128,128,16,absmax,0.00989513151846198,5.080859184265137,1048576
llama32_3b,down_input,4,nar_b128,128,16,mse_optimal,0.006948982268003278,5.080859184265137,1048576
llama32_3b,down_input,4,nar_b16,16,16,absmax,0.010618112816983058,18.623977661132812,1048576
llama32_3b,down_input,4,nar_b16,16,16,mse_optimal,0.006676299830024019,18.623977661132812,1048576
llama32_3b,down_input,5,identity,,16,absmax,0.008276475207014092,228.71592712402344,1048576
llama32_3b,down_input,5,identity,,16,mse_optimal,0.007000086482870993,228.71592712402344,1048576
llama32_3b,down_input,5,hadamard_b16,,16,absmax,0.010268075509685354,17.475772857666016,1048576
llama32_3b,down_input,5,hadamard_b16,,16,mse_optimal,0.0066600479842948415,17.475772857666016,1048576
llama32_3b,down_input,5,nar_b128,128,16,absmax,0.00972288705926844,4.8089070320129395,1048576
llama32_3b,down_input,5,nar_b128,128,16,mse_optimal,0.00683993978443489,4.8089070320129395,1048576
llama32_3b,down_input,5,nar_b16,16,16,absmax,0.010523636816844446,16.57716178894043,1048576
llama32_3b,down_input,5,nar_b16,16,16,mse_optimal,0.006638685010576156,16.57716178894043,1048576
llama32_3b,down_input,6,identity,,16,absmax,0.008308870102509374,137.94932556152344,1048576
llama32_3b,down_input,6,identity,,16,mse_optimal,0.006973751093769396,137.94932556152344,1048576
llama32_3b,down_input,6,hadamard_b16,,16,absmax,0.010030923499896526,11.639023780822754,1048576
llama32_3b,down_input,6,hadamard_b16,,16,mse_optimal,0.006646017738147921,11.639023780822754,1048576
llama32_3b,down_input,6,nar_b128,128,16,absmax,0.009609366138714008,4.113926410675049,1048576
llama32_3b,down_input,6,nar_b128,128,16,mse_optimal,0.006783445851594591,4.113926410675049,1048576
llama32_3b,down_input,6,nar_b16,16,16,absmax,0.010356507256150688,11.792219161987305,1048576
llama32_3b,down_input,6,nar_b16,16,16,mse_optimal,0.006611041237127916,11.792219161987305,1048576
llama32_3b,down_input,7,identity,,16,absmax,0.008430426401236589,72.29036712646484,1048576
llama32_3b,down_input,7,identity,,16,mse_optimal,0.007032302425652439,72.29036712646484,1048576
llama32_3b,down_input,7,hadamard_b16,,16,absmax,0.0099221097316378,7.540401458740234,1048576
