model,layer,b,position,method,mean_group_range,valid,reduction_vs_hadamard,invalid_reason
llama32_3b,8,128,512,bf16,16.447343826293945,True,nan,
llama32_3b,8,128,512,hadamard,10.187885284423828,True,0.0,
llama32_3b,8,128,512,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,8,128,1024,bf16,16.45027732849121,True,nan,
llama32_3b,8,128,1024,hadamard,10.16763687133789,True,0.0,
llama32_3b,8,128,1024,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,8,128,2048,bf16,16.176456451416016,True,nan,
llama32_3b,8,128,2048,hadamard,10.230502128601074,True,0.0,
llama32_3b,8,128,2048,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,9,32,0,bf16,8.992178916931152,True,nan,
llama32_3b,9,32,0,hadamard,7.983651638031006,True,0.0,
llama32_3b,9,32,0,nar_rope,7.116844654083252,True,0.10857274631305594,
llama32_3b,9,32,512,bf16,8.849786758422852,True,nan,
llama32_3b,9,32,512,hadamard,7.889570713043213,True,0.0,
llama32_3b,9,32,512,nar_rope,7.137250900268555,True,0.09535624182072498,
llama32_3b,9,32,1024,bf16,8.878750801086426,True,nan,
llama32_3b,9,32,1024,hadamard,7.883892059326172,True,0.0,
llama32_3b,9,32,1024,nar_rope,7.103116989135742,True,0.0990342161352678,
llama32_3b,9,32,2048,bf16,8.807332038879395,True,nan,
llama32_3b,9,32,2048,hadamard,7.82158088684082,True,0.0,
llama32_3b,9,32,2048,nar_rope,7.088900089263916,True,0.09367425948500778,
llama32_3b,9,64,0,bf16,12.056452751159668,True,nan,
llama32_3b,9,64,0,hadamard,9.014412879943848,True,0.0,
llama32_3b,9,64,0,nar_rope,8.387297630310059,True,0.06956806372038458,
llama32_3b,9,64,512,bf16,11.938401222229004,True,nan,
llama32_3b,9,64,512,hadamard,8.838809967041016,True,0.0,
llama32_3b,9,64,512,nar_rope,8.33021354675293,True,0.05754127786258422,
llama32_3b,9,64,1024,bf16,12.055458068847656,True,nan,
llama32_3b,9,64,1024,hadamard,8.855308532714844,True,0.0,
llama32_3b,9,64,1024,nar_rope,8.28046703338623,True,0.0649149035524773,
llama32_3b,9,64,2048,bf16,11.978421211242676,True,nan,
llama32_3b,9,64,2048,hadamard,8.825334548950195,True,0.0,
llama32_3b,9,64,2048,nar_rope,8.318129539489746,True,0.05747147676353902,
llama32_3b,9,128,0,bf16,16.05331039428711,True,nan,
llama32_3b,9,128,0,hadamard,9.848648071289062,True,0.0,
llama32_3b,9,128,0,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,9,128,512,bf16,15.973037719726562,True,nan,
llama32_3b,9,128,512,hadamard,9.803593635559082,True,0.0,
llama32_3b,9,128,512,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,9,128,1024,bf16,16.093774795532227,True,nan,
llama32_3b,9,128,1024,hadamard,9.792430877685547,True,0.0,
llama32_3b,9,128,1024,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,9,128,2048,bf16,16.141971588134766,True,nan,
llama32_3b,9,128,2048,hadamard,9.734930038452148,True,0.0,
llama32_3b,9,128,2048,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,10,32,0,bf16,8.973387718200684,True,nan,
llama32_3b,10,32,0,hadamard,7.655035972595215,True,0.0,
llama32_3b,10,32,0,nar_rope,6.9648051261901855,True,0.0901668978272648,
llama32_3b,10,32,512,bf16,8.896242141723633,True,nan,
llama32_3b,10,32,512,hadamard,7.522040843963623,True,0.0,
llama32_3b,10,32,512,nar_rope,7.107610702514648,True,0.05509543886371628,
llama32_3b,10,32,1024,bf16,8.944433212280273,True,nan,
llama32_3b,10,32,1024,hadamard,7.64835786819458,True,0.0,
llama32_3b,10,32,1024,nar_rope,7.020383834838867,True,0.08210573356760936,
llama32_3b,10,32,2048,bf16,8.897985458374023,True,nan,
llama32_3b,10,32,2048,hadamard,7.717373847961426,True,0.0,
llama32_3b,10,32,2048,nar_rope,7.055471420288086,True,0.08576783251833575,
llama32_3b,10,64,0,bf16,12.129657745361328,True,nan,
llama32_3b,10,64,0,hadamard,8.598520278930664,True,0.0,
llama32_3b,10,64,0,nar_rope,8.113664627075195,True,0.056388266367590256,
llama32_3b,10,64,512,bf16,12.052570343017578,True,nan,
llama32_3b,10,64,512,hadamard,8.524982452392578,True,0.0,
llama32_3b,10,64,512,nar_rope,8.161128997802734,True,0.04268084498962534,
llama32_3b,10,64,1024,bf16,12.09402847290039,True,nan,
llama32_3b,10,64,1024,hadamard,8.624833106994629,True,0.0,
llama32_3b,10,64,1024,nar_rope,8.125467300415039,True,0.05789860515383313,
llama32_3b,10,64,2048,bf16,12.055749893188477,True,nan,
llama32_3b,10,64,2048,hadamard,8.515552520751953,True,0.0,
llama32_3b,10,64,2048,nar_rope,8.230727195739746,True,0.033447662300021365,
llama32_3b,10,128,0,bf16,14.938613891601562,True,nan,
llama32_3b,10,128,0,hadamard,9.724814414978027,True,0.0,
