model,row,site,layer,direction,captured_share,energy_fraction
llama32_3b,hadamard_g256_m2,qkv,5,30,0.006004599388688803,0.0036898604594171047
llama32_3b,hadamard_g256_m2,qkv,5,31,0.00092343456344679,0.00359835522249341
llama32_3b,hadamard_g256_m2,qkv,5,32,0.0052531627006828785,0.003560991259291768
llama32_3b,hadamard_g256_m2,qkv,5,33,0.002188867423683405,0.0034767177421599627
llama32_3b,hadamard_g256_m2,qkv,5,34,0.0028665398713201284,0.003401018213480711
llama32_3b,hadamard_g256_m2,qkv,5,35,0.01156701985746622,0.0033071115612983704
llama32_3b,hadamard_g256_m2,qkv,5,36,0.0013977499911561608,0.003292758483439684
llama32_3b,hadamard_g256_m2,qkv,5,37,0.014080198481678963,0.0031864182092249393
llama32_3b,hadamard_g256_m2,qkv,5,38,0.0029935697093605995,0.0031127273105084896
llama32_3b,hadamard_g256_m2,qkv,5,39,0.0031799441203475,0.003061428666114807
llama32_3b,hadamard_g256_m2,qkv,5,40,0.0016101561486721039,0.0029830699786543846
llama32_3b,hadamard_g256_m2,qkv,5,41,0.004493698477745056,0.0029021967202425003
llama32_3b,hadamard_g256_m2,qkv,5,42,0.002767872530966997,0.002872581360861659
llama32_3b,hadamard_g256_m2,qkv,5,43,0.0028334183152765036,0.002829478122293949
llama32_3b,hadamard_g256_m2,qkv,5,44,0.003243951592594385,0.0027643588837236166
llama32_3b,hadamard_g256_m2,qkv,5,45,0.0016241210978478193,0.002716676564887166
llama32_3b,hadamard_g256_m2,qkv,5,46,0.0060452623292803764,0.002638460136950016
llama32_3b,hadamard_g256_m2,qkv,5,47,0.0036663159262388945,0.0026004991959780455
llama32_3b,hadamard_g256_m2,qkv,6,0,0.0013904405059292912,0.18161700665950775
llama32_3b,hadamard_g256_m2,qkv,6,1,0.0023260090965777636,0.025914382189512253
llama32_3b,hadamard_g256_m2,qkv,6,2,0.0018259306671097875,0.022392529994249344
llama32_3b,hadamard_g256_m2,qkv,6,3,0.000893888296559453,0.01611841656267643
llama32_3b,hadamard_g256_m2,qkv,6,4,0.0023845878895372152,0.013488737866282463
llama32_3b,hadamard_g256_m2,qkv,6,5,0.0011655831476673484,0.011598520912230015
llama32_3b,hadamard_g256_m2,qkv,6,6,0.0028281754348427057,0.009847419336438179
llama32_3b,hadamard_g256_m2,qkv,6,7,0.0015557411825284362,0.0096039529889822
llama32_3b,hadamard_g256_m2,qkv,6,8,0.001348376157693565,0.008636267855763435
llama32_3b,hadamard_g256_m2,qkv,6,9,0.0025236697401851416,0.007696609478443861
llama32_3b,hadamard_g256_m2,qkv,6,10,0.002028904389590025,0.00704985111951828
llama32_3b,hadamard_g256_m2,qkv,6,11,0.004251532722264528,0.00687963142991066
llama32_3b,hadamard_g256_m2,qkv,6,12,0.0025422461330890656,0.0062469965778291225
llama32_3b,hadamard_g256_m2,qkv,6,13,0.001874209614470601,0.0059592644684016705
llama32_3b,hadamard_g256_m2,qkv,6,14,0.003588907653465867,0.005748132709413767
llama32_3b,hadamard_g256_m2,qkv,6,15,0.0031783180311322212,0.00553473737090826
llama32_3b,hadamard_g256_m2,qkv,6,16,0.0018250413704663515,0.005364479497075081
llama32_3b,hadamard_g256_m2,qkv,6,17,0.0012594787403941154,0.005292136687785387
llama32_3b,hadamard_g256_m2,qkv,6,18,0.0023156418465077877,0.004849690943956375
llama32_3b,hadamard_g256_m2,qkv,6,19,0.0034795773681253195,0.00457795150578022
llama32_3b,hadamard_g256_m2,qkv,6,20,0.001986043294891715,0.004559273831546307
