model,layer,b,method,mean_group_range,relative_quantization_error_nmse,mse,sample_vectors,valid,invalid_reason
llama32_3b,15,32,nar_rope,7.19282341003418,0.005267740410121106,0.019147172570228577,65536,True,
llama32_3b,15,64,bf16,11.545443534851074,0.0,0.0,65536,True,
llama32_3b,15,64,identity,11.545443534851074,0.014412720111603149,0.05238732695579529,65536,True,
llama32_3b,15,64,hadamard,8.692119598388672,0.007763242981609986,0.028217820450663567,65536,True,
llama32_3b,15,64,nar,7.785884857177734,0.006264564593313361,0.02277042716741562,65536,True,
llama32_3b,15,64,nar_rope,8.283394813537598,0.00706989719160762,0.025697648525238037,65536,True,
llama32_3b,15,128,bf16,14.732193946838379,0.0,0.0,65536,True,
llama32_3b,15,128,identity,14.732193946838379,0.022682670181289524,0.08244692534208298,65536,True,
llama32_3b,15,128,hadamard,9.79018497467041,0.009983587230994276,0.036288321018218994,65536,True,
llama32_3b,15,128,nar,8.99960708618164,0.008388793945248444,0.030491571873426437,65536,True,
llama32_3b,15,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,16,32,bf16,9.00322151184082,0.0,0.0,65536,True,
llama32_3b,16,32,identity,9.00322151184082,0.008937355538434185,0.034515380859375,65536,True,
llama32_3b,16,32,hadamard,8.005404472351074,0.006015108156337047,0.02322988584637642,65536,True,
llama32_3b,16,32,nar,6.397415637969971,0.003912754677174702,0.015110758133232594,65536,True,
llama32_3b,16,32,nar_rope,7.365622043609619,0.00516782698937158,0.019957751035690308,65536,True,
llama32_3b,16,64,bf16,12.092449188232422,0.0,0.0,65536,True,
llama32_3b,16,64,identity,12.092449188232422,0.01508271350678599,0.058248281478881836,65536,True,
llama32_3b,16,64,hadamard,9.01314926147461,0.007823433973347458,0.030213501304388046,65536,True,
llama32_3b,16,64,nar,7.863222122192383,0.006019874346218811,0.02324829250574112,65536,True,
llama32_3b,16,64,nar_rope,8.509437561035156,0.007016943231080474,0.027098895981907845,65536,True,
llama32_3b,16,128,bf16,15.512290954589844,0.0,0.0,65536,True,
llama32_3b,16,128,identity,15.512290954589844,0.023576470945939274,0.09105052053928375,65536,True,
llama32_3b,16,128,hadamard,9.869710922241211,0.009470148236704596,0.03657298535108566,65536,True,
llama32_3b,16,128,nar,9.152078628540039,0.008165631165854224,0.03153504058718681,65536,True,
llama32_3b,16,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,17,32,bf16,8.716686248779297,0.0,0.0,65536,True,
llama32_3b,17,32,identity,8.716686248779297,0.009203715683307209,0.03259626775979996,65536,True,
llama32_3b,17,32,hadamard,7.582863807678223,0.005921985155396684,0.020973553881049156,65536,True,
llama32_3b,17,32,nar,6.060579299926758,0.0038203619297656516,0.01353035680949688,65536,True,
llama32_3b,17,32,nar_rope,6.885711669921875,0.004968169132593779,0.017595477402210236,65536,True,
llama32_3b,17,64,bf16,11.774288177490234,0.0,0.0,65536,True,
llama32_3b,17,64,identity,11.774288177490234,0.0157868140549094,0.05591124668717384,65536,True,
llama32_3b,17,64,hadamard,8.519804954528809,0.00765431011849765,0.027108829468488693,65536,True,
llama32_3b,17,64,nar,7.448877334594727,0.00593001343007023,0.021001987159252167,65536,True,
llama32_3b,17,64,nar_rope,8.089387893676758,0.006908487871704121,0.02446739375591278,65536,True,
llama32_3b,17,128,bf16,15.08680534362793,0.0,0.0,65536,True,
llama32_3b,17,128,identity,15.08680534362793,0.024619592393638548,0.08719378709793091,65536,True,
llama32_3b,17,128,hadamard,9.509982109069824,0.009605882976628649,0.03402060270309448,65536,True,
llama32_3b,17,128,nar,8.759092330932617,0.008156653964479316,0.028887951746582985,65536,True,
llama32_3b,17,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,18,32,bf16,8.968267440795898,0.0,0.0,65536,True,
llama32_3b,18,32,identity,8.968267440795898,0.009104199612621416,0.03329611197113991,65536,True,
llama32_3b,18,32,hadamard,7.772652626037598,0.005997186331347503,0.021933062002062798,65536,True,
llama32_3b,18,32,nar,6.233556747436523,0.003905694347689979,0.014284005388617516,65536,True,
llama32_3b,18,32,nar_rope,7.02547025680542,0.004978006028677828,0.018205691128969193,65536,True,
llama32_3b,18,64,bf16,12.237232208251953,0.0,0.0,65536,True,
llama32_3b,18,64,identity,12.237232208251953,0.015491543621715313,0.05665607005357742,65536,True,
llama32_3b,18,64,hadamard,8.731433868408203,0.007764015640325004,0.028394754976034164,65536,True,
llama32_3b,18,64,nar,7.6689839363098145,0.006040874676228376,0.02209284156560898,65536,True,
llama32_3b,18,64,nar_rope,8.27731704711914,0.007030650852999534,0.025712676346302032,65536,True,
