model,site,layer,method,fp4_nmse,transformed_pearson_kurtosis,mean_relative_e4m3_scale_rounding_error,squared_error,signal_energy,sample_vectors
llama32_3b,down_input,10,identity,0.008365756405745169,57.75501251220703,0.03817775845527649,332.80362541922307,39781.65383714386,2048
llama32_3b,down_input,10,hadamard,0.009851477142395891,6.653995037078857,0.04544282704591751,391.90805346332854,39781.65383714386,2048
llama32_3b,down_input,10,nar,0.009482500490182823,3.818067789077759,0.03841481730341911,377.229552011,39781.65383714386,2048
llama32_3b,down_input,10,logdiag,0.03513685691946827,150.3294677734375,0.029781777411699295,1397.8022788955398,39781.65383714386,2048
llama32_3b,down_input,11,bf16,0.0,71.0004653930664,0.0,0.0,42176.35946578496,2048
llama32_3b,down_input,11,identity,0.008298198846967081,71.0004653930664,0.036974865943193436,349.9878174882459,42176.35946578496,2048
llama32_3b,down_input,11,hadamard,0.00972053824481554,7.435373306274414,0.043805450201034546,409.9769152142506,42176.35946578496,2048
llama32_3b,down_input,11,nar,0.009452104547256106,3.659914016723633,0.03613969683647156,398.6553590932541,42176.35946578496,2048
llama32_3b,down_input,11,logdiag,0.0339012010142538,165.5108184814453,0.02909671701490879,1429.8292402990019,42176.35946578496,2048
llama32_3b,down_input,12,bf16,0.0,246.55039978027344,0.0,0.0,51954.08897439869,2048
