model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual,source_commit,source_file
llama32_3b,down_input,5,55,0.017130390621298,0.0011693122083208,0.1947693551887746,0.2694892535700792,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,56,0.0169078272928023,0.0011541201427756,0.1959234753315502,0.2524709566880353,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,57,0.0165922178402287,0.0011325767936416,0.1970560521251919,0.2592333614611303,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,58,0.0162325897026824,0.0011080287502849,0.1981640808754769,0.2888462809528553,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,59,0.0159059854209665,0.0010857348994124,0.1992498157748893,0.2795370760463083,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,60,0.0155037478376041,0.0010582783558186,0.200308094130708,0.2846425332767013,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,61,0.0153275263309103,0.0010462495606965,0.2013543436914045,0.2498581092224426,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,62,0.0151505451344821,0.0010341689095192,0.2023885126009237,0.2807603532086707,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,63,0.0145979923930553,0.000996451925676,0.2033849645265998,0.2818961499485662,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,64,0.0144470074433046,0.0009861457657688,0.2043711102923686,0.3068902308662491,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,9,1,1.0579550789731782,0.0558241745808547,0.0558241745808547,0.0005300509948103,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,9,2,0.1892317883183357,0.0099850254488904,0.0658092000297452,0.0137738628274472,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,9,3,0.1688082200198394,0.0089073531876392,0.0747165532173844,0.0214576823958028,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,9,4,0.1443141460588944,0.0076148961748903,0.0823314493922748,0.0239327911336257,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,9,5,0.1216139271562006,0.0064170939163317,0.0887485433086066,0.0363375748209505,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,9,6,0.1133218790418959,0.00597955478942,0.0947280980980266,0.039037942763428,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,9,7,0.1051074009473105,0.0055461087307387,0.1002742068287654,0.0409961542153437,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,9,8,0.0952758074582958,0.0050273337824948,0.1053015406112602,0.0433556421176288,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,9,9,0.0932425538517282,0.0049200468980551,0.1102215875093153,0.0500987729275711,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
