model,source_family,source_artifact,site,layer,group_size,configuration,method,absorbed_energy_fraction,sqrt_one_minus_f,range_ratio_vs_hadamard,range_ratio_definition
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k2,nar,0.2316497819455505,0.8765558841593898,0.8496272468994154,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k3,nar,0.2533279423050117,0.8641018792335706,0.8395586789050976,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k4,nar,0.270165613073203,0.8543034513138741,0.8315929082664045,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k5,nar,0.2844640875835225,0.8458935585618781,0.8233229525214446,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k6,nar,0.2964457650387862,0.838781398793043,0.817318677266022,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k7,nar,0.3060972961679966,0.8330082255488258,0.8119902475004098,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k8,nar,0.315369870103612,0.8274237909900753,0.8069720127847894,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k9,nar,0.3241737687746307,0.822086510791516,0.8014860268808393,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k10,nar,0.3326306393350063,0.8169267780315405,0.7968664972955254,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k11,nar,0.3399083778298465,0.8124602280543666,0.7928857974102606,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k12,nar,0.3468538246443897,0.8081745945992179,0.7889688848822598,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k13,nar,0.3533216731008825,0.8041631220710866,0.7855887013057969,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k14,nar,0.3594249533548136,0.8003593234573996,0.7818300278642846,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k15,nar,0.3651734627094233,0.7967600249074853,0.7784161066491833,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
