record_type,model,site,layer,method,token,group,relative_channel,signed_value,group_mean,group_range,ecdf_probability,source
activation,llama32_3b,down_input,1,identity,1,11,10.0,0.000408172607421875,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,11.0,0.1962890625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,12.0,0.004974365234375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,13.0,0.0013885498046875,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,14.0,0.10205078125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,15.0,0.0034637451171875,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,16.0,-0.0029144287109375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,17.0,0.00023555755615234375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,18.0,-0.0224609375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,19.0,0.00051116943359375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,20.0,0.0028228759765625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,21.0,-0.00299072265625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,22.0,0.00174713134765625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,23.0,-0.006622314453125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,24.0,-0.00238037109375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,25.0,0.00063323974609375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,26.0,-0.0016632080078125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,27.0,-0.00116729736328125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,28.0,0.00933837890625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,29.0,0.004180908203125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,30.0,-2.1576881408691406e-05,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,31.0,-0.01141357421875,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,32.0,0.0014801025390625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,33.0,-0.0002651214599609375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,34.0,-0.00077056884765625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,35.0,-0.001953125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,36.0,-0.00138092041015625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,37.0,0.004302978515625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,38.0,0.001129150390625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,39.0,0.01708984375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,40.0,0.051025390625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,41.0,-0.008544921875,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,42.0,-0.006927490234375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,43.0,-0.0027923583984375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,44.0,-3.814697265625e-05,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,45.0,-0.004119873046875,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,46.0,0.003143310546875,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,47.0,-0.06298828125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,48.0,0.033203125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,49.0,-0.048095703125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,50.0,-0.0166015625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,51.0,-0.0035552978515625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,52.0,-0.00238037109375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,53.0,-0.0169677734375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,54.0,-0.0006103515625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,55.0,0.00494384765625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,56.0,0.000507354736328125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,57.0,0.005584716796875,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,58.0,-0.00119781494140625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,59.0,-0.003204345703125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,60.0,0.003753662109375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,61.0,-0.004974365234375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,62.0,-0.03662109375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,63.0,-0.0245361328125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,64.0,-0.0072021484375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,65.0,-0.008544921875,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,66.0,-0.027099609375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,67.0,0.00274658203125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,68.0,0.007080078125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,69.0,-0.003814697265625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,70.0,-0.01953125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
