layer,expert,routed_tokens,share_of_tokens
3,75,22065,0.08417129516601562
3,76,32544,0.1241455078125
3,77,24298,0.09268951416015625
3,78,51277,0.19560623168945312
3,79,3517,0.013416290283203125
3,80,12593,0.048038482666015625
3,81,22405,0.08546829223632812
3,82,12028,0.0458831787109375
3,83,0,0.0
3,84,6696,0.025543212890625
3,85,345,0.001316070556640625
3,86,14456,0.055145263671875
3,87,8639,0.032955169677734375
3,88,13121,0.050052642822265625
3,89,43572,0.1662139892578125
3,90,9116,0.0347747802734375
3,91,15825,0.060367584228515625
3,92,14635,0.055828094482421875
3,93,62522,0.23850250244140625
3,94,16637,0.06346511840820312
3,95,174,0.00066375732421875
3,96,17,6.4849853515625e-05
3,97,8094,0.03087615966796875
3,98,3971,0.015148162841796875
3,99,6456,0.024627685546875
3,100,1345,0.005130767822265625
3,101,11008,0.0419921875
3,102,4638,0.01769256591796875
3,103,23153,0.08832168579101562
3,104,24173,0.09221267700195312
3,105,30665,0.11697769165039062
3,106,45304,0.172821044921875
3,107,2662,0.01015472412109375
3,108,7373,0.028125762939453125
3,109,7600,0.02899169921875
3,110,57,0.000217437744140625
3,111,3091,0.011791229248046875
3,112,19224,0.073333740234375
3,113,4876,0.0186004638671875
3,114,4161,0.015872955322265625
3,115,10939,0.041728973388671875
3,116,24999,0.09536361694335938
3,117,7913,0.030185699462890625
3,118,3665,0.013980865478515625
3,119,2433,0.009281158447265625
3,120,12713,0.048496246337890625
3,121,23772,0.0906829833984375
3,122,7601,0.028995513916015625
3,123,43924,0.1675567626953125
3,124,67224,0.256439208984375
3,125,379,0.001445770263671875
3,126,2263,0.008632659912109375
3,127,30636,0.1168670654296875
4,0,29573,0.11281204223632812
4,1,11255,0.042934417724609375
4,2,6541,0.024951934814453125
4,3,0,0.0
4,4,3343,0.012752532958984375
4,5,32233,0.12295913696289062
4,6,19170,0.07312774658203125
4,7,4449,0.016971588134765625
4,8,1210,0.00461578369140625
4,9,12490,0.04764556884765625
4,10,47094,0.17964935302734375
4,11,76002,0.28992462158203125
4,12,9246,0.03527069091796875
4,13,1038,0.00395965576171875
4,14,20497,0.07818984985351562
4,15,3124,0.0119171142578125
4,16,12111,0.046199798583984375
4,17,31,0.000118255615234375
4,18,23734,0.09053802490234375
4,19,6332,0.0241546630859375
4,20,22391,0.08541488647460938
4,21,53,0.000202178955078125
4,22,62003,0.23652267456054688
4,23,21501,0.08201980590820312
4,24,52,0.0001983642578125
4,25,34119,0.13015365600585938
4,26,1336,0.005096435546875
4,27,35324,0.1347503662109375
4,28,70,0.00026702880859375
4,29,11052,0.0421600341796875
4,30,9618,0.03668975830078125
4,31,1811,0.006908416748046875
4,32,4431,0.016902923583984375
4,33,907,0.003459930419921875
4,34,5437,0.020740509033203125
4,35,15,5.7220458984375e-05
4,36,21,8.0108642578125e-05
4,37,1395,0.005321502685546875
4,38,5119,0.019527435302734375
4,39,42227,0.16108322143554688
4,40,48272,0.18414306640625
4,41,0,0.0
4,42,2,7.62939453125e-06
4,43,9690,0.03696441650390625
4,44,8369,0.031925201416015625
4,45,196,0.0007476806640625
4,46,54236,0.2068939208984375
4,47,22250,0.08487701416015625
4,48,7905,0.030155181884765625
4,49,6,2.288818359375e-05
4,50,27227,0.10386276245117188
4,51,49891,0.19031906127929688
4,52,20715,0.07902145385742188
4,53,16997,0.06483840942382812
4,54,72,0.000274658203125
4,55,3458,0.01319122314453125
4,56,23116,0.0881805419921875
4,57,58827,0.22440719604492188
4,58,17813,0.06795120239257812
4,59,849,0.003238677978515625
4,60,50987,0.19449996948242188
4,61,2145,0.008182525634765625
4,62,21,8.0108642578125e-05
4,63,38081,0.14526748657226562
4,64,15304,0.058380126953125
4,65,6171,0.023540496826171875
4,66,1,3.814697265625e-06
4,67,48268,0.1841278076171875
4,68,35,0.000133514404296875
4,69,317,0.001209259033203125
4,70,74773,0.2852363586425781
4,71,53,0.000202178955078125
4,72,159,0.000606536865234375
4,73,3873,0.014774322509765625
4,74,32512,0.1240234375
4,75,9143,0.034877777099609375
4,76,33284,0.1269683837890625
