model,method,layer,direction,s_i,top_magnitude_channel
llama31_8b,nar,11,v2,1.000000238418579,2932
llama31_8b,nar,11,v3,1.0,2932
llama31_8b,nar,11,v4,0.9999997019767761,2932
llama31_8b,nar,11,v5,0.9999999403953552,2932
llama31_8b,nar,11,v6,1.0000001192092896,2932
llama31_8b,nar,11,v7,0.9999999403953552,2932
llama31_8b,nar,11,v8,1.0000001192092896,2932
llama31_8b,nar,11,top_magnitude_channel,0.8592280149459839,2932
llama31_8b,hadamard,12,v1,0.0009412919171154499,2932
llama31_8b,hadamard,12,v2,0.0030180183239281178,2932
llama31_8b,hadamard,12,v3,0.0016366816125810146,2932
llama31_8b,hadamard,12,v4,0.00397028774023056,2932
llama31_8b,hadamard,12,v5,0.0017266556387767196,2932
llama31_8b,hadamard,12,v6,0.0008347262628376484,2932
llama31_8b,hadamard,12,v7,0.002135972958058119,2932
llama31_8b,hadamard,12,v8,0.0032120977994054556,2932
llama31_8b,hadamard,12,top_magnitude_channel,0.0,2932
llama31_8b,smoothquant_hadamard,12,v1,5.6840355682652444e-05,2932
llama31_8b,smoothquant_hadamard,12,v2,0.00014423156972043216,2932
llama31_8b,smoothquant_hadamard,12,v3,9.755964856594801e-05,2932
llama31_8b,smoothquant_hadamard,12,v4,0.00024087756173685193,2932
llama31_8b,smoothquant_hadamard,12,v5,0.0001132521138060838,2932
llama31_8b,smoothquant_hadamard,12,v6,5.335652531357482e-05,2932
