model,row,method,group,m,seed,chunk,nll,tokens_scored,effective_bits,slots,coeff,bit_accounted
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,51,1.682942271232605,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,52,1.5150200128555298,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,53,1.722249984741211,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,54,1.4547656774520874,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,55,1.4421900510787964,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,56,1.5090268850326538,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,57,1.6453943252563477,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,58,1.9571763277053833,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,59,2.1619014739990234,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,60,2.192751884460449,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,61,2.303293466567993,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,62,1.2943837642669678,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,63,1.736730933189392,2047,4.5,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,0,1.5907187461853027,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,1,2.2147862911224365,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,2,2.2876174449920654,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,3,1.8548544645309448,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,4,1.7479331493377686,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,5,1.3149696588516235,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,6,1.3412625789642334,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,7,1.7220937013626099,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,8,2.0242576599121094,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,9,1.8526780605316162,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,10,1.7658637762069702,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,11,2.071617841720581,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,12,1.9700781106948853,2047,4.25,0,,
llama31_8b,hadamard_g128_m1,hadamard,128,1,0,13,2.08974027633667,2047,4.25,0,,
