model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama31_8b,nar_b128_k64,20260904,39,1.5205917358398438,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,40,2.0641191005706787,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,41,2.5387990474700928,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,42,2.539161205291748,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,43,2.043762445449829,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,44,2.0522186756134033,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,45,2.0976243019104004,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,46,2.1849377155303955,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,47,2.037226676940918,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,48,1.828328013420105,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,49,1.8470231294631958,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,50,1.5463881492614746,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,51,1.6807200908660889,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,52,1.5219743251800537,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,53,1.7135988473892212,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,54,1.456727147102356,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,55,1.4305782318115234,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,56,1.4996459484100342,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,57,1.6348638534545898,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,58,1.943151593208313,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,59,2.1604416370391846,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,60,2.1843390464782715,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,61,2.2939207553863525,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,62,1.2821133136749268,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,63,1.734856128692627,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
