layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,symmetric,cholesky_float64,hessian_dtype,product_dtype,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
43,0,self_attn.q_proj,2048,4096,128,0,40.9599723815918,128,128,False,False,False,torch.float32,torch.float32,8.684064390695266,1.4438134764145878,0.014438134764145879,0.0070627452546476,0.0078125,0.42223660019651665,6.959946236004543,4096,0.7849535942077637,0.007741294335573912,nan
43,1,self_attn.o_proj,4096,2048,128,0,0.7384096384048462,128,128,False,False,False,torch.float32,torch.float32,12.283567635883168,1.6547674003496073,0.016547674003496073,0.007954634716514974,0.0078125,0.06964337799632442,51.37942077514709,2048,0.7320507764816284,0.007847012020647526,nan
44,0,self_attn.k_proj,2048,512,128,0,40.95998001098633,128,128,False,False,False,torch.float32,torch.float32,8.304607030337104,1.4240043742373243,0.014240043742373244,0.006970598892259069,0.0078125,0.4039037663477737,7.199466000556492,512,0.7905468940734863,0.007848544977605343,nan
44,0,self_attn.v_proj,2048,512,128,0,40.95998001098633,128,128,False,False,False,torch.float32,torch.float32,8.304607030337104,1.4240043742373243,0.014240043742373244,0.006970598892259069,0.0078125,0.4039037663477737,7.199466000556492,512,0.7937304377555847,0.007785259746015072,nan
44,0,self_attn.q_proj,2048,4096,128,0,40.95998001098633,128,128,False,False,False,torch.float32,torch.float32,8.304607030337104,1.4240043742373243,0.014240043742373244,0.006970598892259069,0.0078125,0.4039037663477737,7.199466000556492,4096,0.7860693335533142,0.007842522114515305,nan
44,1,self_attn.o_proj,4096,2048,128,0,0.8157855272293091,128,128,False,False,False,torch.float32,torch.float32,22.40616692119432,1.598890834626906,0.01598890834626906,0.008649006634361652,0.0078125,0.10478579051955621,8.53112843568022,2048,0.7298437356948853,0.007665535435080528,nan
45,0,self_attn.k_proj,2048,512,128,0,40.959983825683594,128,128,False,False,False,torch.float32,torch.float32,9.011228581793137,1.4829670850307497,0.014829670850307498,0.007189394217661935,0.0078125,0.42401916051596183,5.96974068220178,512,0.7957421541213989,0.0077696312218904495,nan
45,0,self_attn.v_proj,2048,512,128,0,40.959983825683594,128,128,False,False,False,torch.float32,torch.float32,9.011228581793137,1.4829670850307497,0.014829670850307498,0.007189394217661935,0.0078125,0.42401916051596183,5.96974068220178,512,0.7951953411102295,0.007633351720869541,nan
45,0,self_attn.q_proj,2048,4096,128,0,40.959983825683594,128,128,False,False,False,torch.float32,torch.float32,9.011228581793137,1.4829670850307497,0.014829670850307498,0.007189394217661935,0.0078125,0.42401916051596183,5.96974068220178,4096,0.7990381121635437,0.008177855983376503,nan
45,1,self_attn.o_proj,4096,2048,128,0,0.8936625719070435,128,128,False,False,False,torch.float32,torch.float32,10.037803690902702,1.1551552491336148,0.011551552491336149,0.006999474464703459,0.0078125,0.017747454435572754,20.49932247251713,2048,0.7447069883346558,0.007959588430821896,nan
46,0,self_attn.k_proj,2048,512,128,0,40.959983825683594,128,128,False,False,False,torch.float32,torch.float32,9.047848329716848,1.4718495733646024,0.014718495733646024,0.007185700591010067,0.0078125,0.4249489038999929,5.619959742591805,512,0.7900390625,0.007853585295379162,nan
46,0,self_attn.v_proj,2048,512,128,0,40.959983825683594,128,128,False,False,False,torch.float32,torch.float32,9.047848329716848,1.4718495733646024,0.014718495733646024,0.007185700591010067,0.0078125,0.4249489038999929,5.619959742591805,512,0.791933536529541,0.007732203230261803,nan
46,0,self_attn.q_proj,2048,4096,128,0,40.959983825683594,128,128,False,False,False,torch.float32,torch.float32,9.047848329716848,1.4718495733646024,0.014718495733646024,0.007185700591010067,0.0078125,0.4249489038999929,5.619959742591805,4096,0.7868700623512268,0.007741477340459824,nan
46,1,self_attn.o_proj,4096,2048,128,0,1.789888858795166,128,128,False,False,False,torch.float32,torch.float32,55.58174015747398,2.097736444566726,0.02097736444566726,0.0059208708305115605,0.0078125,0.16953293954689325,7.752433749043653,2048,0.7368944883346558,0.007761107757687569,nan
47,0,self_attn.k_proj,2048,512,128,0,40.95998764038086,128,128,False,False,False,torch.float32,torch.float32,9.546019263220863,1.5383226121869342,0.015383226121869343,0.007136466245790197,0.0078125,0.4554338620405978,4.453663074318808,512,0.7866015434265137,0.007749785669147968,nan
47,0,self_attn.v_proj,2048,512,128,0,40.95998764038086,128,128,False,False,False,torch.float32,torch.float32,9.546019263220863,1.5383226121869342,0.015383226121869343,0.007136466245790197,0.0078125,0.4554338620405978,4.453663074318808,512,0.7926952838897705,0.007846357300877571,nan
47,0,self_attn.q_proj,2048,4096,128,0,40.95998764038086,128,128,False,False,False,torch.float32,torch.float32,9.546019263220863,1.5383226121869342,0.015383226121869343,0.007136466245790197,0.0078125,0.4554338620405978,4.453663074318808,4096,0.7857641577720642,0.007750105578452349,nan
47,1,self_attn.o_proj,4096,2048,128,0,7.577237606048584,128,128,False,False,False,torch.float32,torch.float32,14.097133180266006,2.2329745874062104,0.022329745874062105,0.008167859979535296,0.0078125,0.4775256783453861,3.356746336423855,2048,0.7263525724411011,0.00763861695304513,nan
